time,event
1648516223.378713,start
1648516225.382844,4
1648516227.395198,3
1648516229.394781,4
1648516231.389761,6
1648516233.392868,5
1648516235.404072,1
1648516236.753772,key pressed
1648516237.408689,5
1648516237.977936,key pressed
1648516238.516697,key pressed
1648516239.412206,6
1648516239.755703,key pressed
1648516239.906727,key pressed
1648516240.062807,key pressed
1648516241.431219,8
1648516243.423767,6
1648516245.430917,2
1648516247.432795,9
1648516249.445151,7
1648516251.451075,9
1648516253.453199,5
1648516255.456044,3
1648516257.467868,9
1648516259.480122,3
1648516261.476156,5
1648516263.479005,1
1648516265.466972,7
1648516267.4773,1
1648516269.473963,2
1648516271.475134,1
1648516273.47895,8
1648516275.492107,2
