,ROI,F,pval,effectSize
0,outside_fix_dur,2.5449867544012057,0.10133398115714097,0.18789141699044168
1,outside_fix_rate,1.5894658533091774,0.22658919175033276,0.12625363711450727
2,left_panel_fix_dur,0.4710926408307734,0.6304735595503344,0.041067808933382945
3,left_panel_fix_rate,1.4200446495256576,0.2630054866134276,0.11433490696669046
4,ASI_fix_dur,2.5748778419271923,0.0989063796359853,0.1896796326206677
5,ASI_fix_rate,4.156827356530398,0.029419019540774326,0.2742544504037916
6,ALT_fix_dur,0.9228178220903049,0.41224134632122383,0.07739930575644044
7,ALT_fix_rate,0.12207984788543305,0.8856730740656165,0.010976350606639753
8,HSI_fix_dur,2.027912922409198,0.15548776411157272,0.1556590786633984
9,HSI_fix_rate,5.57859468505557,0.010972224440487652,0.3364938217642946
10,fix_dur,0.5873178200330464,0.5642965913919156,0.0506862614070744
11,fix_rate,0.2135771146785918,0.8093448782618855,0.01904629651130851
12,blk_rate,0.3416465638911552,0.7143027688023056,0.03012318907722524
13,sac_rate,1.2060411810623424,0.3184171107335487,0.09880690742986464
14,Hs,1.8695173537605116,0.1778830955519699,0.1452670914044988
15,Ht,1.3818261163910421,0.2720744931320991,0.11160115667928681
16,exp,35.548751217458644,1.2833087561081204e-07,0.7636886122119142
17,n_XBX,3.4637977762094985,0.0492281804880721,0.23948051748254254
18,n_BXBX,4.9279900836021335,0.017043107907814322,0.3093918352369832
19,n_XBXBX,4.592118228154898,0.021545829842649196,0.29451535455027833
20,n_BXBXBX,5.360506326171014,0.01269274033368624,0.32764917046583714
21,n_XBXBXBX,6.02070930330497,0.008214201225273957,0.35372846078370584
